P   n   run1   run2   run3   run4   run5
32   120   0.270968   0.293525   0.816160   0.830850   0.855740
32   240   2.264299   2.271772   2.299972   2.314458   2.329088
48   120   0.291670   0.496688   0.523228   0.527815   0.888987
48   240   2.446235   2.530294   2.542504   2.712783   2.907654
64   120   1.425494   1.476873   1.496019   1.519829   1.527477
64   240   2.966668   2.976806   2.977905   2.984718   2.986810
96   120   2.367482   2.382053   3.109351   3.195189   3.238370
96   240   4.017583   4.031023   4.043363   4.181466   5.940251
